INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Using device: cuda
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Writing log file to run/logs/AapmCT_10C
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Exp instance id = 12085
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Exp comment = 
INFO - main_ImageNet.py - 2025-05-07 17:53:07,132 - Config =
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:08,490 - step: 43001, loss: 1682235.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:08,766 - step: 43002, loss: 1783468.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:09,036 - step: 43003, loss: 1674968.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:09,306 - step: 43004, loss: 1650221.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:09,575 - step: 43005, loss: 2001687.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:09,843 - step: 43006, loss: 1681363.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:10,111 - step: 43007, loss: 1669880.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:10,379 - step: 43008, loss: 1641316.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:10,648 - step: 43009, loss: 1568765.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:10,916 - step: 43010, loss: 1679865.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:11,186 - step: 43011, loss: 1669736.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:11,455 - step: 43012, loss: 1623403.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:11,724 - step: 43013, loss: 1643552.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:11,993 - step: 43014, loss: 1494800.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:12,261 - step: 43015, loss: 1627317.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:12,530 - step: 43016, loss: 1305043.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:12,799 - step: 43017, loss: 1615381.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:13,067 - step: 43018, loss: 1520153.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:13,336 - step: 43019, loss: 1640221.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:13,605 - step: 43020, loss: 1675153.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:13,875 - step: 43021, loss: 1636664.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:14,143 - step: 43022, loss: 1666132.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:14,412 - step: 43023, loss: 1883282.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:14,680 - step: 43024, loss: 1188103.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:14,949 - step: 43025, loss: 1350246.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:15,218 - step: 43026, loss: 1587340.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:15,486 - step: 43027, loss: 1675578.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:15,755 - step: 43028, loss: 1340157.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:16,023 - step: 43029, loss: 1435133.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:16,292 - step: 43030, loss: 1676567.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:16,562 - step: 43031, loss: 1293880.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:16,831 - step: 43032, loss: 1558556.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:17,100 - step: 43033, loss: 1651807.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:17,368 - step: 43034, loss: 1283183.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:17,637 - step: 43035, loss: 1593989.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:17,906 - step: 43036, loss: 1663114.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:18,176 - step: 43037, loss: 1470384.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:18,445 - step: 43038, loss: 1534627.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:18,715 - step: 43039, loss: 1332809.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:18,983 - step: 43040, loss: 1642052.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:19,254 - step: 43041, loss: 1641206.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:19,524 - step: 43042, loss: 1306795.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:19,794 - step: 43043, loss: 1291276.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:20,063 - step: 43044, loss: 1281742.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:20,332 - step: 43045, loss: 1563121.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:20,602 - step: 43046, loss: 805007.3125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:20,872 - step: 43047, loss: 884466.4375
